date,copper_close,iron_close,dxy_close,copper_return,iron_return,dxy_return,copper_vol_20d,iron_vol_20d,dxy_vol_20d,copper_vol_60d,iron_vol_60d,dxy_vol_60d,corr_copper_dxy_60d,corr_iron_dxy_60d
2023-01-04,5.35,115.35,104.02,-0.027272727272727337,-0.02071483147975217,-0.0027801744799157424,,,,,,,,
2023-01-05,5.32,114.97,104.83,-0.005607476635513864,-0.003294321629822239,0.0077869640453758215,,,,,,,,
2023-01-06,5.44,116.57,103.65,0.022556390977443552,0.013916673914934341,-0.011256319755794997,,,,,,,,
2023-01-09,5.46,117.41,102.74,0.003676470588235281,0.007205970661405159,-0.008779546550892525,,,,,,,,
2023-01-10,5.37,119.66,102.98,-0.016483516483516425,0.019163614683587404,0.0023359937706832756,,,,,,,,
2023-01-11,5.39,121.02,102.93,0.003724394785847185,0.01136553568443932,-0.0004855311711011723,,,,,,,,
2023-01-12,5.24,121.26,102.0,-0.027829313543599188,0.001983143282102251,-0.009035266686097443,,,,,,,,
2023-01-13,5.3,122.33,101.95,0.011450381679389166,0.008824014514266842,-0.0004901960784313708,,,,,,,,
2023-01-17,5.19,120.95,102.14,-0.02075471698113196,-0.011280961334096284,0.0018636586562039703,,,,,,,,
2023-01-18,5.06,121.19,102.11,-0.025048169556840194,0.0019842910293508265,-0.0002937145094967786,,,,,,,,
2023-01-19,5.03,121.79,101.83,-0.005928853754940566,0.004950903539896023,-0.0027421408285183135,,,,,,,,
2023-01-20,5.1,122.16,101.78,0.01391650099403563,0.0030380162574923375,-0.0004910144358243329,,,,,,,,
2023-01-23,5.05,121.94,101.92,-0.009803921568627416,-0.001800916830386412,0.0013755158184318717,,,,,,,,
2023-01-24,5.1,121.97,101.68,0.00990099009900991,0.0002460226340823546,-0.0023547880690737433,,,,,,,,
2023-01-25,5.05,121.93,101.42,-0.009803921568627416,-0.0003279494957776352,-0.0025570416994492584,,,,,,,,
2023-01-26,5.09,122.49,101.64,0.007920792079207928,0.004592799147051574,0.002169197396963085,,,,,,,,
2023-01-27,5.06,122.7,101.72,-0.005893909626719096,0.0017144256674015423,0.0007870916961825181,,,,,,,,
2023-01-30,5.1,123.08,102.09,0.007905138339920903,0.00309698451507745,0.0036374360990956145,,,,,,,,
